epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
145,138902,0.33946,0.45956,0.21381,0.84559,0.79421,0.81493,0.46938,0.19998,0.2649,0.20421,2.872e-05,2.872e-05,2.872e-05
146,139896,0.33335,0.46681,0.20839,0.85192,0.791,0.81485,0.4699,0.19982,0.2638,0.20436,2.8225e-05,2.8225e-05,2.8225e-05
147,140894,0.32806,0.456,0.20789,0.84858,0.78992,0.81386,0.47046,0.19942,0.26398,0.20379,2.773e-05,2.773e-05,2.773e-05
148,141886,0.33579,0.45675,0.21291,0.84849,0.78631,0.81375,0.47076,0.19919,0.26634,0.20266,2.7235e-05,2.7235e-05,2.7235e-05
149,142890,0.32832,0.47245,0.21647,0.84575,0.78163,0.81055,0.46944,0.19865,0.2669,0.20176,2.674e-05,2.674e-05,2.674e-05
150,143881,0.32523,0.45572,0.20991,0.85193,0.78318,0.81326,0.47105,0.19858,0.26628,0.20158,2.6245e-05,2.6245e-05,2.6245e-05
151,144875,0.33272,0.45354,0.21452,0.84107,0.7884,0.80696,0.4661,0.19884,0.26644,0.20199,2.575e-05,2.575e-05,2.575e-05
152,145860,0.32661,0.456,0.21004,0.84987,0.78877,0.81157,0.46858,0.1988,0.26435,0.20237,2.5255e-05,2.5255e-05,2.5255e-05
153,1027.7,0.39982,0.46989,0.25993,0.84281,0.79308,0.80645,0.46643,0.19868,0.26654,0.20217,2.476e-05,2.476e-05,2.476e-05
154,2051.46,0.3454,0.48054,0.22051,0.84932,0.79142,0.81139,0.46946,0.19883,0.26533,0.20309,2.4265e-05,2.4265e-05,2.4265e-05
155,3089.51,0.34657,0.48268,0.2232,0.84252,0.79314,0.81117,0.46874,0.19942,0.26475,0.20405,2.377e-05,2.377e-05,2.377e-05
156,4131.84,0.3342,0.46855,0.21642,0.85166,0.79528,0.81057,0.46874,0.19983,0.26444,0.20477,2.3275e-05,2.3275e-05,2.3275e-05
157,5157.63,0.34773,0.46943,0.22099,0.85141,0.79222,0.81445,0.47019,0.19976,0.26211,0.20558,2.278e-05,2.278e-05,2.278e-05
158,6174.97,0.34975,0.47719,0.2262,0.85083,0.79636,0.81392,0.46913,0.20013,0.26375,0.20537,2.2285e-05,2.2285e-05,2.2285e-05
159,7196.32,0.33783,0.45775,0.21877,0.85243,0.7925,0.81338,0.4698,0.20018,0.26446,0.20352,2.179e-05,2.179e-05,2.179e-05
160,8205.29,0.34878,0.48311,0.22365,0.84651,0.79803,0.81437,0.4693,0.20033,0.2656,0.20565,2.1295e-05,2.1295e-05,2.1295e-05
161,9212.75,0.34183,0.47172,0.21277,0.84951,0.79957,0.81499,0.47035,0.19991,0.26715,0.20406,2.08e-05,2.08e-05,2.08e-05
162,10220.4,0.34043,0.4695,0.21888,0.84843,0.80171,0.81451,0.47035,0.19991,0.26698,0.20409,2.0305e-05,2.0305e-05,2.0305e-05
163,11229.8,0.33918,0.47607,0.2169,0.86038,0.79259,0.81299,0.46997,0.20003,0.2673,0.20522,1.981e-05,1.981e-05,1.981e-05
164,12236.7,0.33943,0.47112,0.21881,0.84263,0.79636,0.81557,0.47255,0.20044,0.26563,0.20591,1.9315e-05,1.9315e-05,1.9315e-05
165,13244.5,0.33989,0.46068,0.21504,0.84796,0.79957,0.8153,0.47054,0.20019,0.26713,0.20468,1.882e-05,1.882e-05,1.882e-05
166,14251.9,0.33341,0.45681,0.21171,0.84678,0.79743,0.81392,0.4699,0.20063,0.26731,0.20496,1.8325e-05,1.8325e-05,1.8325e-05
167,15258.3,0.33266,0.47147,0.21301,0.83705,0.7985,0.81272,0.47096,0.19994,0.26724,0.20322,1.783e-05,1.783e-05,1.783e-05
168,16262.3,0.33225,0.46209,0.21034,0.84648,0.79743,0.81602,0.47267,0.19975,0.26973,0.20295,1.7335e-05,1.7335e-05,1.7335e-05
169,17265.7,0.33234,0.46118,0.21214,0.83757,0.8014,0.81189,0.47084,0.19895,0.27153,0.20172,1.684e-05,1.684e-05,1.684e-05
170,18281.9,0.33637,0.46683,0.21201,0.85841,0.78629,0.81443,0.47204,0.20009,0.26841,0.20428,1.6345e-05,1.6345e-05,1.6345e-05
171,19293.7,0.33638,0.4612,0.2085,0.8533,0.7855,0.81505,0.47147,0.19975,0.2698,0.20311,1.585e-05,1.585e-05,1.585e-05
172,20299.2,0.33118,0.45008,0.21231,0.86071,0.78992,0.81869,0.47349,0.20004,0.26912,0.20401,1.5355e-05,1.5355e-05,1.5355e-05
173,21307.7,0.32627,0.45334,0.21048,0.85951,0.78671,0.81724,0.47263,0.19876,0.27276,0.20025,1.486e-05,1.486e-05,1.486e-05
